#,height,body_weight,body_fat_percentage,A_hand,Forearm_length,Upper_arm_length,Foot_length,Crim_length,Thigh_length,Head_and_neck_manager,Cervical_circumference,Upper_brachial_circumference,Front_arm_maximum_enclosure,Upper_chest_circumference,Abdominal_circumference,Femur_circumference,Crim_circumference,Owl_head_lower_edge_height,Shoulder_peak_height
MG004501,149.4,50.2,27.3,18,22,28,23,33,38.5,23,33,28,22,87,92.5,47.5,34.5,91,121.5
MG004601,146,49.5,34.9,16.5,22.5,29,22.5,33.5,37.5,24.5,33,26.5,21.5,85,95.5,44,31,91,121
MG004701,150.7,54.5,29.1,16.5,23,27,22,32,40,24.5,35,29,23,89,96,51,35.5,92,120
MG004801,159.1,58.6,25.8,18,22.5,31,22.5,34.5,44.5,24,36,29,24,91,100,51.5,35,95,128.5
MG004901,157.2,68.1,35.8,18,22,29,23,34,41.5,24,38.5,31,23.5,102.5,103,52,37,99,130
MG005001,145.7,48.1,28.3,16.5,21,27.5,22,33.5,34,21.5,33,28,23,86.5,90.5,47,32,89,117
MG005101,147.3,51.3,32.4,17.5,22.5,27,22,34.5,39,24.5,32.5,30,22,91,91.5,47.5,31,89,118.5
MG005201,158.1,58.1,28.3,18.5,24.5,32,25,39,40.5,25,33,29,23.5,91.5,97,50.5,34,97,130
MG005301,159.8,53.4,24.3,18.5,25,33,23.5,35.5,44,25,39,26.5,23,94,86,44,33,91.5,127
MG005401,157,49.9,23.1,17.5,22.5,30,22.5,35.5,42.5,24.5,33.5,27,21.5,86,89.5,48,31.5,92,124
MG005501,165.8,71.4,22.9,20,22,31.5,25.5,39.5,41.5,26,39.5,31.5,26.5,99,98.5,51,37,100,133.5
MG005601,163.1,46,18.4,19,24,35,23.5,40,41,25.5,30.5,24,22,79.5,87,46.5,33,99,131
MG005701,162.8,64.6,25.1,18,22,31,23.5,37,38.5,25.5,40,30.5,26.5,94,97.5,51,38,98,130.5
MG005801,147.6,48.5,29.3,16,21,28,22.5,33.5,38.5,23.5,32.5,25,21.5,89,94,44.5,34.5,90.5,120.5
MG005901,158.6,51.9,19.8,17.5,22.5,31,24.5,39.5,42,22.5,36.5,27,24,87.5,87.5,48,32.5,94,127
MG006001,171.5,82.8,25.9,19,28.5,32.5,26,39,40.5,25.5,41.5,31.5,27,103.5,104.5,56,40,104,139
MG006101,157.6,53.6,26.6,16.5,21,28,22.5,36,39.5,25,33,25.5,21.5,90,91,54,34.5,96,127
