#,height,body_weight,body_fat_percentage,A_hand,Forearm_length,Upper_arm_length,Foot_length,Crim_length,Thigh_length,Head_and_neck_manager,Cervical_circumference,Upper_brachial_circumference,Front_arm_maximum_enclosure,Upper_chest_circumference,Abdominal_circumference,Femur_circumference,Crim_circumference,Owl_head_lower_edge_height,Shoulder_peak_height
OS009701,147.9,43.9,22.6,18.2,21.7,27,22.5,31.9,37,22.3,30.5,23,19,84.3,88.5,42,31.3,,
OS009801,159.1,55.7,27,16.7,21.2,28.5,22.8,38,38.4,25.7,34.5,25.9,19,89,94.6,44.5,34.8,,
OS009901,143.9,51.2,36.6,17.1,20.3,26.2,21.3,30.7,32.8,21.9,36,27,21.7,88,92.2,54,33,,
OS010001,155,58.1,27.4,16.8,21.6,28.8,22.5,33.4,38.4,21.8,34.7,26.5,22.7,89,89,46.7,35,,
OS010101,148.4,44.8,26.2,15.4,20.7,25.6,20.5,31.9,32.4,23.7,33,25,21.2,81.4,86.4,47.3,30.8,,
OS011201,167.8,73.1,30.3,17.4,23,27.7,22.8,37.5,40.2,25.8,38.9,28.7,26.3,99.7,96.6,58.1,35.6,105,136.6
OS011401,171.7,59.9,15.6,17.5,23.3,29.4,24.8,37.9,42.7,23,36.7,26.3,25.2,91,83.4,48.3,34.9,106.9,141.2
OS011601,157.3,62.8,22.3,17.2,24.9,27.9,23,34.6,38,21.6,39.5,27.8,27.4,92.3,86,52,36.3,93,124.6
OS011701,162.7,57.1,19.3,17.3,22.6,28.8,23,34.9,39.3,24.4,35.5,29,25,91.5,77,54,36.5,100.9,133.1
OS012001,173.4,77.2,18,19.6,24.7,31.5,26,39.4,39.6,27.4,40.5,26.4,25.5,96.4,83.5,56.5,40.4,103.7,137.2
OS012201,172,68,21.4,18.7,23.8,31.9,24.8,39.4,41.7,25.9,36.2,27.8,25.8,91.8,88.8,52.3,38.1,106.2,138.2
OS012301,166.7,72.3,24.8,17.7,22.8,29.7,24.3,37,39.5,26.4,41,30,25.9,99,86.4,52.9,36,100.6,133.6
OS012401,170.3,73.4,23.3,17,24,28.4,25.5,38.4,39.2,23.5,39.5,31.3,26,98.3,85.9,53.5,34.7,107.8,140.6
OS012501,166.9,62.3,17.5,16.3,23.1,29.7,23.6,36.5,39.7,24.4,35.2,25.7,26.1,90.8,77.3,52.2,36.8,102.1,134.6
OS012601,171.4,58.7,16.9,19.3,23.5,29,25,35.4,41.5,26.5,35.4,27.4,26.1,89.5,90.4,48.5,33.3,105.7,137.6
OS012701,167.7,69.6,26.7,18.4,24.4,30.6,23.8,36.5,40.7,27.7,37.3,30.1,26,101.6,93.3,50,36.6,102.5,136
OS013001,165.7,56.2,22.5,17.8,22.3,27.5,24.6,37.4,43.3,24.7,31,23.5,21.8,83.5,83.5,51,37.7,105,136.3
OS013101,158.6,49.7,21.9,18.9,22.4,27.8,23,34.8,36.7,25.7,30,24.7,21,80.8,70.8,49.6,33.5,97.2,129.2
OS013201,170.3,65.4,20.8,18.7,25.3,27.9,25.1,39.6,40,23.9,38,27.6,27.3,93,88.6,53.8,36.2,105,139
OS013301,148.1,53.1,28.2,16.4,18.7,24.7,23,28.5,36.5,24.3,34,25.3,22,88.6,84.3,47.3,34.3,90.5,113
OS013601,162.3,81.1,31.9,19,21.9,30,24,36.2,37.9,24.8,41,32.2,26.7,102.4,103,64,41.5,99.5,130.9
OS013701,171.4,75.2,27,15.8,22.4,27.8,24.3,35.6,37.7,25.5,39,29,26,94.5,88.5,59,38,,
OS013801,165.7,69.8,20.3,18.7,22.4,30.9,23.8,36.5,38.9,22.6,40.1,29.5,28.7,97.2,91.3,58.3,37.3,102.6,138
OS013901,172.4,68.7,19.1,17.3,24.3,30.3,24.5,37.2,39.3,28.6,35.6,28.4,26.8,94.1,82.5,58.2,39.7,100.7,135.6
OS014001,163.8,72.1,27.5,18.6,21.7,29.7,24.2,35.5,38.3,23.9,39.2,31.4,28.7,98.2,100.3,55.9,38,98.9,130.9
OS014101,164.4,67.4,26.2,18.3,22.7,27.7,23.2,36,39.4,25.2,36.8,28.4,26.6,94.2,86.5,54.8,36,99.2,132.5
OS020101,149.5,47.6,29.8,16.2,23.2,27.4,22,34.5,38.5,21.9,33,24,23.2,88,92.8,47.4,30.5,,
OS020201,149.6,46.4,26.8,17.6,22.2,28.5,22,35.1,40.4,20.3,32.5,25.3,23,84.5,89.7,43,31.2,,
OS020301,152.9,56.6,27.3,18.3,20.5,27,21.9,33.9,38.8,22.2,33.4,27.7,23.6,89.8,91.5,48,35,,
OS020401,153.5,54.5,29.1,17.7,22.7,27.7,23,35.7,38.2,22.8,34,22.1,25.5,93.2,98,42,32.8,,
OS020501,153,69,41.1,16.1,20.8,27.6,21.5,32.4,36.6,23.1,35,29.5,24,95,107,54.5,38,,
OS020601,149.4,46.3,25.3,15.5,20.8,26.3,22.5,31,38.3,22.5,32,22,21.5,81.5,90,45,32,,
OS020701,153.6,49.8,26.6,14.2,19.9,24.2,21.2,34.9,41.9,24.8,32,24,22.5,92.5,92.5,43.5,31,,
OS020801,139.1,55,43.5,16.4,22,25.5,22,32.4,35.2,21.3,31,29.2,22.9,91.5,91.5,52,34.2,,
OS020901,147.4,59.4,,16.6,21.8,28.2,21,31.4,37.6,21.2,35.8,32,24.6,95,97.5,47.5,34,,
OS021001,163.4,44.3,10.9,17.7,22.3,30,24.5,37.6,38.7,24.4,34,21.5,23,83,81,37,29,,
OS021101,161.8,63.4,20.4,19.8,24.8,31.2,24,36.3,41.6,24.3,40.7,28,25.4,98.7,90,49.5,36.3,,
OS021201,172.1,80.2,26.7,18.9,23,31.6,25,40.1,40.3,23.6,41,32,36.5,105.5,101,55,37.5,,
OS021301,157.3,60.3,19.2,17,24.4,31.1,23.4,33.9,40,21.5,38,29,25.8,97,87,45.8,35,,
OS021401,164.6,63.7,19.2,17.8,22.9,28.7,23.7,36.4,39.6,23.8,37.5,31,26,89.5,90.5,53.5,39,,
OS021501,164.2,61.7,25.3,17.2,24.7,28.9,24.3,37.3,38.8,22.4,38.5,26.9,24.2,92.7,92.6,51.3,35.1,,
OS021601,165.2,65.3,21.8,19.3,24.8,30.4,24.3,38.4,42.8,23.2,36.5,28.4,26,92.7,95.3,45.5,35.8,,
OS021701,158.1,55.4,21.8,17.7,21.3,27,23,34.9,36.5,23,36,27,24.5,89,81,49,34,,
OS021801,177,67,21.7,20,24.7,31.1,25.2,40.7,41.2,25.5,36,27.7,25.5,96.5,86,50,35.8,,
OS021901,161.6,50.2,9.4,19.4,22.7,28.6,24.8,32.3,37,27.4,33,21.5,21,83,87,40,31,,
OS022001,162,57.7,18.7,16.4,23.5,29.5,23.7,36.5,40,24,35.9,27.3,24.6,92,84,45.4,32.8,,
OS022101,142.5,35,16,16.5,18.7,25.9,21.5,31.2,33.9,21.9,29,20,19,74.5,80.2,43,29.5,,
OS022201,141.6,50.9,27.3,15.3,20.6,26,21.7,32.7,33.7,20.5,32.6,28.6,22.2,90.5,90.6,50.7,36.8,,
OS022301,145.4,52.7,34.4,17.5,17.7,25.8,21.6,31.3,35.7,23,35.2,28,22.4,87.9,95.1,47.3,33.1,,
OS022401,155.1,64.4,33.4,17.6,21.4,27.6,22.3,34.8,39.2,24,34,33.3,24.4,98.7,97.2,54.1,36.3,,
OS022601,143.7,46.9,25.1,16.9,19.8,25.7,22,30.5,34.4,22,31.8,27.3,22.4,79.2,91.9,50.3,33.5,,
OS022701,151.2,63.1,42,17.3,24,29.6,22.6,34,34.6,23.6,32.4,31.8,25.2,93.5,93,56.1,36.6,,
OS022801,146.2,44.1,31.6,14.3,19.5,26.4,19.7,32.8,38.8,21.7,30,27.8,19.2,83.1,94.1,40.5,27.6,,
OS022901,148.2,51.5,27.9,17,21.2,27.1,22,30,37.8,24.5,32.8,29.2,22.7,85.4,99.4,51.1,34.2,,
OS023001,147.3,66.7,44.5,16.4,20.4,27.3,21.3,32.3,36,22.6,34.4,33.4,23.3,96.6,98.7,63,35.6,,
OS023101,157.6,48.2,24.3,18.2,22.4,29.1,23.2,34.6,39.7,24.7,33.9,23,21.4,88.3,81.2,41,30.2,,
OS023201,160.4,52.5,18.7,17.3,23.4,30.3,23.3,35.5,39.3,23.7,35.8,26,25.7,91,77,45,32,,
OS023301,160.7,55.4,12.3,18.9,22,28.9,23.4,33.8,36.9,24.2,36,26.5,25,92,87.5,47,35,,
OS023401,157.3,52.9,17.3,18.5,24.3,32.3,23,35.7,42.5,23.2,36,25,23,84,84,47,32,,
OS023501,154.4,53.4,26.4,17.4,21.2,26.7,22.8,32.8,37.8,25.8,30.4,27.9,23.6,88.5,89.1,54.1,37,,
OS023601,159.8,73.3,33.4,17.7,22.4,30,22.5,35,35.2,23.8,34.5,32.5,25,99.2,104.2,56,40,,
OS023701,162.9,63.8,25.6,19.9,23.5,29.8,25.5,35.7,39.7,23.8,40,30.5,24.5,91.5,85.7,51,35,,
OS023801,163.8,64.7,26.5,19,24.1,30.3,24.5,35.2,40.5,22.7,39.7,28,26.5,96,91,49,35,,
OS023901,140.2,41.6,17.5,15.8,20,24.5,22,29.7,33.1,20.4,34,26.5,23.3,85.2,73.7,44.6,32.4,,
OS024001,164.6,72.9,24.1,20.1,23.2,30.9,25,34.4,40.4,22.1,39,30.5,26.7,102.5,98,53,37.9,,
OS024101,158.2,52.8,20,17.8,22.9,30.8,24,37.9,39.5,22.4,35.6,25.4,23.9,91.2,80,48.6,31.8,,
OS024201,164.6,65.9,21.2,17.4,23.5,30.2,23.4,34.3,39.8,23.4,39.2,30.5,25.6,97,88,51.8,36,,
OS024301,156.1,55,22.1,19.9,21.9,28.9,24.6,32.8,36.4,23.1,37.4,27,25,91.7,85.4,47.4,32.5,,
OS024401,153.3,47.5,15.6,18,21.1,30.2,24,34.1,36.8,23.1,35.6,23.2,22.2,85.5,82,40.5,31,,
OS024501,154.5,49.5,23.8,16.6,22,29.1,23.3,34.7,37.8,23.3,32.2,26.4,21,85.4,87.8,43.8,31.3,,
OS024601,150.9,47.8,23.7,17.4,23.4,27.3,22,34.6,39.7,20.5,33,26.8,21.4,84.2,88.8,39.6,30.7,,
OS024701,150.3,54.7,33,17,20.7,25.8,21.7,31.9,34.2,24.5,34.5,29.8,24,87.6,94.5,46.5,33.2,,
OS024801,147,62.8,47.5,16.2,21.8,27.8,22.5,32.1,35,21.9,35.4,33,22.5,96.2,105.5,48.8,33.6,,
OS024901,151.3,45.7,24.3,17.9,21.4,26.7,23,32.2,37.6,22.2,32.5,22,21,81,85.5,45.4,31,,
OS025001,153.4,59.1,35.7,17.1,21.3,28.9,21.3,32,33.4,23.7,33.3,29.9,22.9,89.9,86.8,55,34.5,,
OS025101,154.7,46.2,22.4,17.3,20.9,29.3,22.8,34.2,38,25.6,34,25,20.5,82,86,42,31,,
OS025201,143.4,51.1,32.2,16.8,21.1,26.5,21.5,32.5,34.2,23.2,34,26.3,22.5,87.3,79.3,45.1,32,,
OS025301,155.6,50.1,23.7,16.6,21.2,27.5,23,34.7,37,24,34,22.2,21.3,86,87,41,31.8,,
OS025401,151,61.4,41.2,17.5,21.1,30.5,22.3,33.6,36,22.1,35.5,28.4,23.4,95.4,94.7,47,35.1,,
OS025501,147.5,52.2,33.3,17.4,20.6,29.1,20.5,31.8,34.4,22.7,32.6,31,24.5,86.2,92,42.4,31.6,,
OS025601,148.8,71.3,37,18.2,20.5,27.8,23,32.9,36.1,23.4,36.4,31.7,26.2,103,111.2,54.3,37.5,,
OS025701,149.1,60,32.3,17.3,22.3,28.1,22.7,32.7,35.7,21.5,37.5,28,23,92.1,101,46.3,36,,
OS025801,149.6,52.2,28.5,19.1,20.7,28.1,22.8,31.5,35.3,22.4,30.9,26,21.7,86.8,94.4,43.1,35,,
OS025901,150.4,52.9,31,16.2,21.4,25.9,22,33.9,36.7,23,32,28.1,21.3,95,96,45.2,33.2,,
OS026001,163.5,61.7,27.6,17.1,23.8,30.7,23.8,36.2,41.5,23.4,34.6,26.1,22.7,93,95,49,36.9,,
OS026101,158.1,55.3,21.6,16.1,23.6,28.9,22.5,34.9,35.3,23.8,35,25.3,22.7,86,92.2,42.4,32.6,,
OS026201,160,75.2,31.7,19.4,22.6,28.6,25.5,35,36,23,39.9,28.7,28.2,101.7,101.4,52.3,38.7,,
OS026301,160.3,64.1,25.3,17.8,23.7,28.7,24.5,33.7,39.5,25.2,40.5,28,23.9,102,90.5,49.4,33.7,,
OS026401,167.7,71.5,23.3,19.1,24.3,32.6,23.7,35.3,37.4,24.5,40.1,29.1,26.3,102.9,93.2,50.4,36.1,,
OS026501,174.9,75.2,26.2,20.3,24.2,32.7,25.5,38.4,42.2,24.3,39.2,30.2,26.2,101.5,96.2,51,36,,
OS026601,150,48.6,19.1,14.8,19.9,27.6,22.3,31.7,34.6,23.4,35,24.3,23.5,86.2,78.7,47.4,32.8,,
OS026701,156.4,73.4,24.4,18.9,21.6,30.4,24,32.5,37,22.8,38,29.4,26.1,99.3,101.7,54.4,40,,
OS026801,160.6,56.8,15.7,17.2,21.1,30,23,34.1,37.7,25.8,36.7,26.2,24.7,90.2,78,46.8,34.7,,
OS026901,149.6,56.1,32.3,16.6,19.8,27.5,22,34.8,37,24.4,33.5,29,23.5,88,99,47,34.5,,
OS027001,149.9,56.4,31,17.4,21.6,28,22,32.7,34.5,19.7,35.6,25.8,22.2,85.8,90.5,48.9,34.9,,
OS027101,168.7,66,17,19.1,24.8,30.9,24.8,37.4,39,24.3,40.2,27,24.8,95,88,47.5,36,100.1,134.2
OS027201,166.5,63.4,14,18.7,24.2,32.2,24.5,38.9,41.5,23,39,28.3,26,91.5,83.5,52.2,34.5,99.4,135.6
OS027301,162.5,72,21,18.4,21,29.4,25.2,36.7,39,23.1,40.5,31,28,100,97,55.3,38,96.9,128.6
OS027401,166.6,66.9,19,19.1,24.6,31.6,24.4,35.7,38.8,23.7,37.8,29,27,90,85.7,51.5,37.8,100,134.1
OS027501,165.7,72,22,19.2,24.9,31.8,25.3,38.2,40.9,21,38,31.4,27.2,94.8,95.3,53.5,37.5,101.3,134.7
OS027601,160,63.7,30,17.8,23.2,29.7,23.3,34.3,39.2,21.3,39,28.9,25.5,94.2,97.6,49.6,36.4,98.7,130.8
OS027701,158.2,62.1,19,19.2,22.8,29.9,23.5,36.3,37.4,26,37.5,28.5,26,97,90,50,36,91.8,126.1
OS027801,161.1,57.8,,18,24,30.4,23.7,36.8,38.4,22,36,27.6,25,88.7,81.7,47.9,32,95,129.3
OS027901,149.1,41.3,20,16.4,20.7,28,21.3,31.8,36.6,22.5,29.5,24.7,21.6,79,65.5,46,32,90,120
OS028001,144.3,49.3,30,17.3,20.8,27.4,20.9,31,31.5,22.1,34.7,30.5,23,80.4,83.5,53.6,32.9,86.1,116.1
OS028101,156.7,63.5,31,16.8,21.4,28.7,22.5,34.5,36.8,22.8,32.5,31,24.5,93.5,99.7,48.5,38.4,97,127.8
OS028201,153.6,53.4,30,18.7,22.2,29.6,23,35.9,37.7,23.3,33.3,28.7,23.5,86.1,92.1,43.8,33,92.9,123.5
OS028301,153.5,61.1,34,17.9,21.9,27.7,23.2,33.9,36.5,22.8,33.3,31,24.4,91.3,101.5,50.2,35.1,93.3,123
OS028401,151.4,42.1,17,17.2,20,29.8,23,30.7,37.8,24,31.5,22,20.1,78.6,85.9,42.4,32.2,88.2,120
OS028501,139.9,48.5,33,17.5,18.5,25.2,20.5,29.4,33,22.5,34.6,31.2,22.9,84.7,92.6,50.1,34,82,109.6
OS028601,142.4,43,28,17.4,21.1,28.4,21.9,31.5,33.8,23.7,34.4,24.7,20.6,82.4,88.4,46.3,31.1,84.6,112.3
OS028701,175.2,87,32,18.6,25.6,31.5,25.3,38.7,41.2,25.2,41,32.7,28.2,107,92,60,40,108.7,142.7
OS028801,166.3,63,20,16.9,24.4,30.6,25,35.9,38,24.5,39,29.3,26,94.4,73,54,36,102,134.4
OS028901,163.3,44.7,11,16.7,21.9,28,22.5,35,38.4,26,34.5,21.5,21.3,82.3,64.9,43.5,30.1,100.1,128.9
OS029001,168.9,54.9,14,19.4,24,31,24,35.4,40.5,25,36.5,25.8,25.5,91.1,72.8,45.9,34.3,102.2,135.7
OS029101,174.1,63.2,18,18.6,26.3,32.6,24.5,41.5,44.1,25.6,35.6,28,26.3,94.8,84.6,49.9,35.6,105,140.5
OS029201,177.7,64.8,18,18.8,25.8,32.4,26,38.6,43.4,25.7,37.7,26.9,24.6,90.1,88.8,49.9,34.8,109.6,143
OS029301,167.1,52.3,15,17.2,23.6,30.4,23.8,35,40.2,25.6,36,24.1,23.1,83.5,75.5,42.5,31.1,98.7,133.5
OS029401,168.9,52.9,12,19.5,23.2,29.3,24.6,36.6,41.7,26.5,34,25,24.2,82,81,49,34.2,104.5,135.2
OS029501,177.6,69,16,18.1,24.4,30.9,25.2,38.1,41.7,29.3,36.2,28.5,27.2,95.6,90.8,54.8,37.1,107.4,139.3
OS029601,158.3,42.4,18,16.5,21.5,29.9,22.5,33.6,42.6,24.5,28.6,21.9,19.9,77.2,71.9,42.9,31.9,96.5,129.5
OS029701,161.6,50,21,18.4,21.8,29.8,23.6,36.7,41.3,24.9,31.6,26.2,22.5,78.9,73,46.1,32.5,97.6,128.9
OS029801,164.4,63.8,30,18.2,23.6,29.4,24.3,35.7,43,24.9,35.4,32,24,97.7,96.7,49.7,35.6,96.8,130.1
OS029901,155.2,52.5,25,16.9,21,26.2,21.2,32.7,37,23.8,32,25.9,22,84.5,82,50.3,33.2,94.7,123.7
OS030001,166.5,49,19,18.5,23.8,28.9,24.5,38,39.6,25.8,31.7,21.5,21.4,76.8,69,46.7,34,101.3,133.8
OS030101,163,51.8,25,16.7,23.7,29.8,22.2,38.2,40,23.4,32.9,26.1,21.5,84.9,83.5,48.6,32.6,99.6,132.8
OS030201,156.6,66.8,37,16.6,22.6,29,22.4,35.2,38.5,24.2,36.8,32.2,26.2,97.3,101.9,50.2,38.1,95,126.6
OS030301,153,45.2,19,17.8,19.3,24.9,22,31.7,35.7,25.6,32.1,23.8,21,81.9,83,45,32.1,95.4,123.7
OS030401,155.6,50.9,22,16.2,22.6,28,21.8,35.4,36.6,24.2,32.9,24.8,21.6,78.8,88.2,52.2,36.3,93.8,124.4
OS030501,163.7,57.5,27,19.1,22.3,28.2,24.2,35.9,40.3,24.9,32.4,26.3,22.9,83.3,93.4,49.1,36.9,99,130.8
OS030601,160.4,49.2,20,17.3,21.9,29.7,22.8,33.8,42.7,27.7,32.1,26.2,22.2,78,80,43,32.2,94,126.2
OS030701,151.8,53.9,30,17.5,21.8,26.2,22.4,33.7,35.3,25.9,32.1,28.1,22.8,85.2,93.1,55.6,34.3,92,120
OS030801,150.7,41.8,21,16.5,19.8,28.2,21.6,31,37.2,24.4,29.5,23.7,20.1,77.8,80.9,47,30.9,90.2,120.1
OS030901,143.3,39.1,22,15.4,18.6,24.8,21.3,29.9,35.2,22.6,29.5,24.2,22.3,82.2,82.8,47.1,32.9,87.8,112.3
OS031001,158.9,56.3,26,16.8,22.2,28.4,23,33.2,37.8,22.2,32.9,26.9,23,85.4,87.6,50,35.2,96.3,127.7
OS031101,166,49.4,20,16.2,21.3,26.7,22.4,37.4,40.2,26.2,29.8,25.5,20.3,82.3,87.9,50,30.8,102.8,134.3
OS031201,159.9,47.8,18,17.2,21.8,26,22.6,34.3,35,25,31,28.6,23.4,77.2,72.2,52.6,32.9,99,128.5
OS031301,157.1,44.7,21,16.6,21.6,28.4,22.6,34.6,37.8,25.9,31.4,22.1,20.5,77.3,79.2,51,31.3,97.5,123.1
OS031401,148.8,48.8,22,16,20.2,25.5,21,31,35.8,25.2,29.8,23,21.4,76.4,80.5,49.9,33,88.8,117
OS031501,156.9,51.3,25,17,21.1,28.5,22.3,34.1,39.9,24.1,30,26.1,22.9,81.8,87,55.8,34.4,95.3,126.2
OS031601,160.5,47.1,21,17.8,21.4,27.4,24.5,34.1,39.6,26.3,29.8,21.1,20.3,78.2,76,48.1,33.4,99.1,128.7
OS031701,157.7,63.5,28,17.1,20.8,27.5,23,32.2,40.3,24.8,34,25.8,23.5,93.8,100.5,54.2,37.3,94.8,125.2
OS031801,156.6,63.1,25,18.6,22.7,29,23.5,34.7,38.4,22.6,40,27.3,26.5,95,93,60,33.9,96.9,127.6
OS031901,159,54.1,23,19.1,24,29.9,23.8,35.4,39,21.6,35.2,22.2,23,89.5,81.5,44.2,29.5,94.3,128.4
OS032001,154.4,48.6,17,18.3,21.7,30,25.5,35,38.9,24.8,35.5,23.8,23.4,85.7,84.3,41.1,29.8,92.2,126.8
OS032101,160.4,59.1,18,18.2,21.8,29.9,23.4,36.4,37.1,23.6,36.1,26.7,24.3,86.8,87,49.9,35,99.9,131.3
OS032201,172,67.6,20,19.3,24.7,31.8,25.2,37.8,42.8,24.3,38.3,28.6,25.8,94.9,89,54,36.3,103,139.9
OS032301,161.8,65.6,22,19,22.7,30.5,24.2,35.9,41.3,22.5,38.6,29.7,26.5,94.4,94.7,51.3,33.6,99.6,133.6
OS032401,155,51.1,17,19.1,22,29.5,23.5,34.4,38.2,24.8,35.8,29,24.8,90,77,44,32.7,91.2,124.7
OS032501,158.2,55.2,18,17.2,21.6,28.9,22.6,33.4,37.9,24.8,35.1,23.3,23,91.4,87.5,47.4,32.4,93,125.4
OS032601,150.6,62.9,29,17.3,21.1,29.2,22.3,34.3,36.8,21.6,37,28,24.5,103.3,98.1,54.1,35.6,91.7,123
OS032701,155.1,40.7,10,18.1,22.6,31,24,37.3,40.6,22.6,33.7,22,21.8,79.7,69,42.2,28.6,90.2,126.7
OS032801,165.8,60.3,23,17.4,23.7,33.5,24.6,36.3,43.5,23.1,36.7,25.8,24.9,95.9,86.9,50.2,34.5,97.8,134.2
OS032901,167.4,66.2,23,18.2,23.8,31.5,25.7,36.5,44.8,25.6,37.6,28.4,26.2,97,89.4,53.4,34.2,100.2,136.5
OS033001,147.2,57.8,38,17.1,21.8,27.1,22.4,32.8,35.9,21.6,35,28.2,24.2,95.8,103.4,50.2,32.1,88.4,119.4
OS033101,143.7,52.7,32,16.5,21.3,27.7,21.7,32.1,34.8,22.3,31,25.8,23.4,83.7,94.7,54.9,34.2,84.4,113.6
OS033201,157.8,62.2,35,17.2,21.3,30.2,23.5,36.5,41,23.6,34.4,29.1,25.3,89.3,101.8,53,36,94.8,128.7
OS033301,144,49.6,27,17.4,20.7,26.4,22.8,32.9,35.7,22.3,30.6,26.1,22.9,87.4,91.1,50.6,33.5,90.4,119
OS033401,150.6,63,38,17.5,21.5,27.8,23,33.2,40.3,21.9,38.6,25.5,23.9,101,103.3,54.8,35.8,89.4,120.3
OS033501,151.8,48.2,24,16.5,21.4,29.4,22.8,33,41.6,24.7,30.7,25.6,22.3,78.8,87,50.2,33.4,90.8,120.3
OS033601,145.3,50.8,28,17,20.4,25.6,22,30.8,36.6,23.7,35.7,25,22.3,85,94,51.3,33.7,85.4,114.3
OS033701,150.1,57.2,31,16.5,20.9,28.5,22.1,32.2,38.2,22.3,36,27.2,24,94.4,90,52.4,33.8,88,120.3
OS033801,147.1,53.6,30,15.9,22.5,26.7,22.5,35.4,38,22,33.7,26.4,23.2,85.5,93,52,34.2,88,118
OS033901,144.8,52.1,31,18,19.5,26,21.7,32.6,36,21,35,25.5,23,86.3,98.7,46,34.3,89,117.8
OS034001,143.9,61.1,38,17.1,20.1,27.2,21.2,32.9,38,21.7,34.2,30.9,23.7,90.3,106.4,51.8,35.2,85.1,116.6
OS034101,147.1,57.1,34,17.3,19.5,28.1,21.4,32.8,38.6,22.6,33.4,27.9,23.2,94,101.6,50.1,33,89.4,120.4
OS034201,147.1,63.7,41.9,16.8,21.7,28.4,22.2,32.6,36.4,21.3,36.5,31.4,24.3,99.7,102.7,49.6,35.6,88.4,119.6
OS034301,153.6,54.7,27,17.2,23.2,28.4,23.5,36.5,40.2,21.9,34,27,22.5,87.5,92,49,34,94.4,127.2
OS034401,151.4,51.6,28,16.9,21.6,28.1,22.2,34.2,37.8,24,32.5,27,23,85,92.5,50.4,34.1,89.8,119.1
OS034501,155.4,54,27,15.9,20.8,28.7,21,35.3,35.9,22.8,28.4,27.1,22.3,87.6,88,48.5,32.5,92,124
OS034601,152.2,44,24,17.9,21.9,28,22.6,33.1,38.3,22.2,28.9,23.2,20.1,77.8,85.1,50.3,30.3,93.6,124.3
OS034701,138.7,39.2,26,15.8,19.1,25.9,19.8,31.7,31.8,22.2,29.8,22,19.6,84.1,84,44.6,36.7,82.9,111.2
OS034801,142.4,60.6,40.5,16,20.5,28,20.9,29.8,34.8,21.9,33.1,28.2,23.5,100,104.9,55.8,36.2,84.7,114.4
OS034901,151,45.7,21,16,20.5,27.5,22.9,33.5,39.4,24.3,30.1,26.8,23.1,80.5,85.7,46.7,31.2,89.4,122.3
OS035001,138.1,53.7,33,16.9,19.2,27.9,22.2,32.7,36.3,19.7,29.9,28.7,23,89.5,100.7,53.7,34.3,82,111.4
OS035101,153.5,54.3,30,17.5,21,28,22,33.6,37.1,22.4,32.5,23,21.3,87.5,97.2,50.5,32.5,94.2,123.8
OS035201,157,47.1,22,17.8,21.1,28.8,22.7,37,40.2,24.8,30.7,21.7,21.5,79.8,89.8,49.8,31,97.2,127.7
OS035301,157.9,49,25,16.4,20.6,28.9,23.2,33.8,33.8,23,30.7,23.8,21.6,84.7,88.5,47.2,32,96.4,128.5
OS035401,159.2,52,19,18,22.2,27.8,22.5,34.2,37.7,24.5,35.8,23.6,23.2,89.4,88.8,46.4,31.5,96.4,127.7
OS035501,155.7,63.5,29,19,23.3,28.5,22.7,34.5,37.9,24.5,37.1,29,26,95.6,95.1,54.3,34.6,93,122.8
OS035601,171.2,67.9,20,17.3,24.1,30.9,25.4,38,42.9,23.7,37.2,27.4,26.8,96.8,85.7,55.2,36.4,105.6,140.7
OS035701,158.2,71.2,24,18,22.1,28.4,23.5,33.5,38.4,22.9,40.4,30.5,28.4,100.3,97,55.6,40.5,99.7,130.1
OS035801,154.9,59.3,31,18,21.9,28.9,22.6,32.7,37.6,24.9,35.8,28,26.6,92.9,87.2,52,32,92.6,125.4
OS035901,160.7,48.3,12,18.7,23.5,30.2,23.3,36.1,38.9,24.9,34.1,24.8,23,85,84.5,43,30,96.1,129.6
OS036001,153.1,51.7,20,17.3,21.4,27.4,23.6,33.7,39.3,24.4,35.3,26,24.5,87.9,84,49.3,33.5,91.9,121.2
OS036101,164.7,54,16,17.4,22.5,32.4,23.9,36,42.2,24.9,34.1,24.9,24.3,91.2,81.2,48.9,31.4,99.6,134.6
OS036201,157,71.5,35,17,22.2,29.5,23,34.5,37.3,23.5,39.6,28.7,28.7,100.4,96.6,64.2,37.5,94,128.9
OS036301,164.9,66.4,25,18.4,22.9,32.3,24.3,36.7,39.8,24.4,37,25.8,25.6,97.5,100.5,52,34.7,100.6,135
OS036401,158.6,69.1,31,18.2,21.4,27.3,24.3,33.8,36.6,23.6,38.2,29.3,27.8,94.5,98.5,58.6,37.2,96.3,127.1
OS036501,156.4,62.9,29,16.8,23.6,27.9,22.5,33.9,36.6,20.4,38.3,27.3,25.7,95.5,96,51,34.6,95.8,127.7
OS036601,156.6,54,19,17.9,23.3,27.5,24,34.3,39.2,23.2,37.6,25.4,24.7,90.9,82.4,50.7,33.3,95.4,126.7
OS036701,160.7,61.4,24,18.3,23.7,29.9,22.7,36,40.8,24.6,35.4,28.1,25.4,92.8,91.2,56.1,34.5,98.7,129.5
OS036801,163.4,65.4,30,20,23.5,29.3,24.8,37.7,39.9,23.1,38.1,26.8,25.2,99.4,90.6,51.5,35.1,100.2,131.2
OS036901,164.2,57.2,19,19.4,25.1,30.1,24,36.4,41,24,34.5,25.7,24.9,92.2,89.9,51.5,34,97.4,133
